,Delta (mm),Load (N),L,b (mm),h (mm)
0,0,0,37.75,6.25,1.55
16,0,1.45002,37.75,6.25,1.55
223,-0.076,10.35125,37.75,6.25,1.55
431,-0.152,32.48856,37.75,6.25,1.55
638,-0.254,54.08507,37.75,6.25,1.55
846,-0.33,77.41214,37.75,6.25,1.55
1053,-0.406,101.15833,37.75,6.25,1.55
1261,-0.508,124.55131,37.75,6.25,1.55
1468,-0.61,148.27553,37.75,6.25,1.55
1676,-0.686,170.29961,37.75,6.25,1.55
1884,-0.787,190.52891,37.75,6.25,1.55
2091,-0.864,207.61481,37.75,6.25,1.55
2298,-0.965,221.39338,37.75,6.25,1.55
2506,-1.067,232.52034,37.75,6.25,1.55
2713,-1.143,240.68304,37.75,6.25,1.55
2921,-1.245,248.16974,37.75,6.25,1.55
3128,-1.346,254.83848,37.75,6.25,1.55
3335,-1.448,260.59631,37.75,6.25,1.55
3543,-1.549,265.39253,37.75,6.25,1.55
3751,-1.651,269.42825,37.75,6.25,1.55
3958,-1.727,272.92486,37.75,6.25,1.55
4166,-1.829,276.08178,37.75,6.25,1.55
4373,-1.93,278.78071,37.75,6.25,1.55
4580,-2.032,281.43401,37.75,6.25,1.55
4788,-2.134,283.74931,37.75,6.25,1.55
4996,-2.235,286.03419,37.75,6.25,1.55
5203,-2.337,288.2295,37.75,6.25,1.55
5411,-2.438,290.13751,37.75,6.25,1.55
5618,-2.54,291.68724,37.75,6.25,1.55
5826,-2.642,293.37893,37.75,6.25,1.55
6033,-2.743,294.88134,37.75,6.25,1.55
6241,-2.845,296.48346,37.75,6.25,1.55
6448,-2.946,297.34705,37.75,6.25,1.55
6656,-3.048,298.90354,37.75,6.25,1.55
6863,-3.15,300.09837,37.75,6.25,1.55
7071,-3.251,301.24926,37.75,6.25,1.55
7278,-3.353,302.21087,37.75,6.25,1.55
7486,-3.454,303.08291,37.75,6.25,1.55
7693,-3.556,303.99213,37.75,6.25,1.55
7901,-3.658,304.9098,37.75,6.25,1.55
8108,-3.759,305.75818,37.75,6.25,1.55
8316,-3.861,306.37503,37.75,6.25,1.55
8523,-3.962,307.18792,37.75,6.25,1.55
8731,-4.064,307.9011,37.75,6.25,1.55
8954,-4.166,305.33061,37.75,6.25,1.55
9179,-4.166,303.30768,37.75,6.25,1.55
9402,-4.166,302.51845,37.75,6.25,1.55
9625,-4.166,302.14327,37.75,6.25,1.55
9849,-4.166,301.93202,37.75,6.25,1.55
10072,-4.166,301.75964,37.75,6.25,1.55
10296,-4.166,301.53487,37.75,6.25,1.55
10519,-4.166,301.55008,37.75,6.25,1.55
10743,-4.166,301.30841,37.75,6.25,1.55
10966,-4.166,301.26278,37.75,6.25,1.55
11189,-4.166,301.15124,37.75,6.25,1.55
11413,-4.166,300.90957,37.75,6.25,1.55
11636,-4.166,300.98562,37.75,6.25,1.55
11860,-4.166,300.8876,37.75,6.25,1.55
12083,-4.166,300.7524,37.75,6.25,1.55
12307,-4.166,300.70001,37.75,6.25,1.55
12530,-4.166,300.62396,37.75,6.25,1.55
12754,-4.166,300.77437,37.75,6.25,1.55
12977,-4.166,300.66283,37.75,6.25,1.55
13201,-4.166,300.59523,37.75,6.25,1.55
13424,-4.166,300.45158,37.75,6.25,1.55
13647,-4.166,300.36201,37.75,6.25,1.55
13871,-4.166,300.36201,37.75,6.25,1.55
14094,-4.166,300.30962,37.75,6.25,1.55
14318,-4.166,300.23357,37.75,6.25,1.55
14541,-4.166,300.23357,37.75,6.25,1.55
14765,-4.166,300.11358,37.75,6.25,1.55
14988,-4.166,300.18794,37.75,6.25,1.55
15212,-4.166,300.13555,37.75,6.25,1.55
15435,-4.166,300.18794,37.75,6.25,1.55
15658,-4.166,300.13555,37.75,6.25,1.55
15882,-4.166,300.08316,37.75,6.25,1.55
16105,-4.166,300.02401,37.75,6.25,1.55
16329,-4.166,300.02401,37.75,6.25,1.55
16552,-4.166,300.02401,37.75,6.25,1.55
16776,-4.166,300.02401,37.75,6.25,1.55
16999,-4.166,300.02401,37.75,6.25,1.55
17222,-4.166,300.02401,37.75,6.25,1.55
17446,-4.166,299.88036,37.75,6.25,1.55
17669,-4.166,299.88036,37.75,6.25,1.55
17893,-4.166,299.84994,37.75,6.25,1.55
18116,-4.166,299.84994,37.75,6.25,1.55
18340,-4.166,299.71474,37.75,6.25,1.55
18563,-4.166,299.64038,37.75,6.25,1.55
18786,-4.166,299.79079,37.75,6.25,1.55
19010,-4.166,299.60151,37.75,6.25,1.55
19233,-4.166,299.79079,37.75,6.25,1.55
19456,-4.166,299.66235,37.75,6.25,1.55
19680,-4.166,299.79079,37.75,6.25,1.55
19904,-4.166,299.72995,37.75,6.25,1.55
20127,-4.166,299.60151,37.75,6.25,1.55
20350,-4.166,299.67756,37.75,6.25,1.55
